,C_Year,C_Month,dv,count,C_Month_Year
1,2010,1,TRUE,2173,1/1/10
2,2010,2,TRUE,1696,2/1/10
3,2010,3,TRUE,2122,3/1/10
4,2010,4,TRUE,2091,4/1/10
5,2010,5,TRUE,2774,5/1/10
6,2010,6,TRUE,3774,6/1/10
7,2010,7,TRUE,5279,7/1/10
8,2010,8,TRUE,6737,8/1/10
9,2010,9,TRUE,6428,9/1/10
10,2010,10,TRUE,5058,10/1/10
11,2010,11,TRUE,4195,11/1/10
12,2010,12,TRUE,2990,12/1/10
13,2011,1,TRUE,2424,1/1/11
14,2011,2,TRUE,2147,2/1/11
15,2011,3,TRUE,2615,3/1/11
16,2011,4,TRUE,2766,4/1/11
17,2011,5,TRUE,3028,5/1/11
18,2011,6,TRUE,3879,6/1/11
19,2011,7,TRUE,4198,7/1/11
20,2011,8,TRUE,3583,8/1/11
21,2011,9,TRUE,3389,9/1/11
22,2011,10,TRUE,2599,10/1/11
23,2011,11,TRUE,2263,11/1/11
24,2011,12,TRUE,2199,12/1/11
25,2012,1,TRUE,2247,1/1/12
26,2012,2,TRUE,1991,2/1/12
27,2012,3,TRUE,2095,3/1/12
28,2012,4,TRUE,2206,4/1/12
29,2012,5,TRUE,2868,5/1/12
30,2012,6,TRUE,3371,6/1/12
31,2012,7,TRUE,3891,7/1/12
32,2012,8,TRUE,3480,8/1/12
33,2012,9,TRUE,2610,9/1/12
34,2012,10,TRUE,2170,10/1/12
35,2012,11,TRUE,1682,11/1/12
36,2012,12,TRUE,1692,12/1/12
37,2013,1,TRUE,1580,1/1/13
38,2013,2,TRUE,1375,2/1/13
39,2013,3,TRUE,1455,3/1/13
40,2013,4,TRUE,1486,4/1/13
41,2013,5,TRUE,1653,5/1/13
42,2013,6,TRUE,2145,6/1/13
43,2013,7,TRUE,2843,7/1/13
44,2013,8,TRUE,2464,8/1/13
45,2013,9,TRUE,2080,9/1/13
46,2013,10,TRUE,2084,10/1/13
47,2013,11,TRUE,1592,11/1/13
48,2013,12,TRUE,1689,12/1/13
49,2014,1,TRUE,1696,1/1/14
50,2014,2,TRUE,1501,2/1/14
51,2014,3,TRUE,1566,3/1/14
52,2014,4,TRUE,1619,4/1/14
53,2014,5,TRUE,1726,5/1/14
54,2014,6,TRUE,2518,6/1/14
55,2014,7,TRUE,3110,7/1/14
56,2014,8,TRUE,3529,8/1/14
57,2014,9,TRUE,3295,9/1/14
58,2014,10,TRUE,2585,10/1/14
59,2014,11,TRUE,2098,11/1/14
60,2014,12,TRUE,1780,12/1/14
61,2015,1,TRUE,1594,1/1/15
62,2015,2,TRUE,1380,2/1/15
63,2015,3,TRUE,1582,3/1/15
64,2015,4,TRUE,1657,4/1/15
65,2015,5,TRUE,2027,5/1/15
66,2015,6,TRUE,2582,6/1/15
67,2015,7,TRUE,3198,7/1/15
68,2015,8,TRUE,3324,8/1/15
69,2015,9,TRUE,2942,9/1/15
70,2015,10,TRUE,2373,10/1/15
71,2015,11,TRUE,1985,11/1/15
72,2015,12,TRUE,1826,12/1/15
73,2016,1,TRUE,1717,1/1/16
74,2016,2,TRUE,1523,2/1/16
75,2016,3,TRUE,1540,3/1/16
76,2016,4,TRUE,1536,4/1/16
77,2016,5,TRUE,1718,5/1/16
78,2016,6,TRUE,2212,6/1/16
79,2016,7,TRUE,2382,7/1/16
80,2016,8,TRUE,2654,8/1/16
81,2016,9,TRUE,2288,9/1/16
82,2016,10,TRUE,1819,10/1/16
83,2016,11,TRUE,1538,11/1/16
84,2016,12,TRUE,1374,12/1/16
85,2017,1,TRUE,1383,1/1/17
86,2017,2,TRUE,1370,2/1/17
87,2017,3,TRUE,1504,3/1/17
88,2017,4,TRUE,1399,4/1/17
89,2017,5,TRUE,1701,5/1/17
90,2017,6,TRUE,2194,6/1/17
91,2017,7,TRUE,2245,7/1/17
92,2017,8,TRUE,2520,8/1/17
93,2017,9,TRUE,2135,9/1/17
94,2017,10,TRUE,2062,10/1/17
95,2017,11,TRUE,1518,11/1/17
96,2017,12,TRUE,1331,12/1/17
97,2018,1,TRUE,951,1/1/18
98,2018,2,TRUE,1020,2/1/18
99,2018,3,TRUE,1107,3/1/18
100,2018,4,TRUE,1132,4/1/18
101,2018,5,TRUE,1397,5/1/18
102,2018,6,TRUE,1383,6/1/18
103,2018,7,TRUE,1697,7/1/18
104,2018,8,TRUE,1681,8/1/18
105,2018,9,TRUE,1447,9/1/18
106,2018,10,TRUE,1437,10/1/18
107,2018,11,TRUE,926,11/1/18
108,2018,12,TRUE,851,12/1/18
109,2019,1,TRUE,1023,1/1/19
110,2019,2,TRUE,656,2/1/19
111,2019,3,TRUE,782,3/1/19
112,2019,4,TRUE,804,4/1/19
113,2019,5,TRUE,965,5/1/19
114,2019,6,TRUE,1029,6/1/19
115,2019,7,TRUE,1390,7/1/19
116,2019,8,TRUE,1069,8/1/19
117,2019,9,TRUE,916,9/1/19
118,2019,10,TRUE,901,10/1/19
119,2019,11,TRUE,833,11/1/19
120,2019,12,TRUE,768,12/1/19
