"","year","month","count","day","date","pop","stan_count","num"
"1",2014,7,749,1,2014-07-01,8354889,8.9648109029336,1
"2",2014,8,1198,1,2014-08-01,8354889,14.3389098287242,2
"3",2014,9,1073,1,2014-09-01,8354889,12.842779838248,3
"4",2014,10,876,1,2014-10-01,8354889,10.4848789732575,4
"5",2014,11,669,1,2014-11-01,8354889,8.00728770902881,5
"6",2014,12,692,1,2014-12-01,8354889,8.28257562727644,6
"7",2015,1,504,1,2015-01-01,8426743,5.98095847945048,7
"8",2015,2,450,1,2015-02-01,8426743,5.34014149950936,8
"9",2015,3,513,1,2015-03-01,8426743,6.08776130944067,9
"10",2015,4,552,1,2015-04-01,8426743,6.55057357273148,10
"11",2015,5,645,1,2015-05-01,8426743,7.65420281596342,11
"12",2015,6,884,1,2015-06-01,8426743,10.4904113012584,12
"13",2015,7,1189,1,2015-07-01,8426743,14.1098405398147,13
"14",2015,8,1099,1,2015-08-01,8426743,13.0418122399129,14
"15",2015,9,1084,1,2015-09-01,8426743,12.8638075232625,15
"16",2015,10,891,1,2015-10-01,8426743,10.5734801690285,16
"17",2015,11,767,1,2015-11-01,8426743,9.10197451138595,17
"18",2015,12,668,1,2015-12-01,8426743,7.92714338149389,18
"19",2016,1,353,1,2016-01-01,8461961,4.17160986679093,19
"20",2016,2,569,1,2016-02-01,8461961,6.72420967196611,20
"21",2016,3,556,1,2016-03-01,8461961,6.57058097998797,21
"22",2016,4,631,1,2016-04-01,8461961,7.45690035678491,22
"23",2016,5,658,1,2016-05-01,8461961,7.77597533243181,23
"24",2016,6,908,1,2016-06-01,8461961,10.7303732550883,24
"25",2016,7,1041,1,2016-07-01,8461961,12.3021129499415,25
"26",2016,8,1066,1,2016-08-01,8461961,12.5975527422072,26
"27",2016,9,830,1,2016-09-01,8461961,9.80860110321946,27
"28",2016,10,687,1,2016-10-01,8461961,8.11868549145996,28
"29",2016,11,599,1,2016-11-01,8461961,7.07873742268488,29
"30",2016,12,499,1,2016-12-01,8461961,5.8969782536223,30
"31",2017,1,507,1,2017-01-01,8560072,5.92284737791925,31
"32",2017,2,491,1,2017-02-01,8560072,5.73593306224527,32
"33",2017,3,556,1,2017-03-01,8560072,6.49527246967082,33
"34",2017,4,508,1,2017-04-01,8560072,5.93452952264887,34
"35",2017,5,613,1,2017-05-01,8560072,7.16115471925937,35
"36",2017,6,720,1,2017-06-01,8560072,8.41114420532911,36
"37",2017,7,795,1,2017-07-01,8560072,9.2873050600509,37
"38",2017,8,822,1,2017-08-01,8560072,9.60272296775074,38
"39",2017,9,780,1,2017-09-01,8560072,9.11207288910654,39
"40",2017,10,728,1,2017-10-01,8560072,8.5046013631661,40
"41",2017,11,541,1,2017-11-01,8560072,6.32004029872646,41
"42",2017,12,454,1,2017-12-01,8560072,5.30369370724919,42
"43",2018,1,461,1,2018-01-01,8443713,5.45968343547442,43
"44",2018,2,356,1,2018-02-01,8443713,4.21615467034467,44
"45",2018,3,430,1,2018-03-01,8443713,5.09254637148373,45
"46",2018,4,450,1,2018-04-01,8443713,5.32940899341321,46
"47",2018,5,559,1,2018-05-01,8443713,6.62031028292885,47
"48",2018,6,599,1,2018-06-01,8443713,7.0940355267878,48
"49",2018,7,743,1,2018-07-01,8443713,8.79944640468003,49
"50",2018,8,745,1,2018-08-01,8443713,8.82313266687297,50
"51",2018,9,605,1,2018-09-01,8443713,7.16509431336664,51
"52",2018,10,638,1,2018-10-01,8443713,7.55591763955028,52
"53",2018,11,439,1,2018-11-01,8443713,5.19913455135199,53
"54",2018,12,357,1,2018-12-01,8443713,4.22799780144114,54
"55",2019,1,421,1,2019-01-01,8398748,5.01265188573344,55
"56",2019,2,340,1,2019-02-01,8398748,4.04822242553295,56
"57",2019,3,350,1,2019-03-01,8398748,4.1672877909898,57
"58",2019,4,374,1,2019-04-01,8398748,4.45304466808624,58
"59",2019,5,394,1,2019-05-01,8398748,4.69117539899995,59
"60",2019,6,511,1,2019-06-01,8398748,6.08424017484511,60
"61",2019,7,567,1,2019-07-01,8398748,6.75100622140348,61
"62",2019,8,521,1,2019-08-01,8398748,6.20330554030196,62
"63",2019,9,508,1,2019-09-01,8398748,6.04852056520805,63
"64",2019,10,482,1,2019-10-01,8398748,5.73895061502024,64
"65",2019,11,390,1,2019-11-01,8398748,4.64354925281721,65
