"","year","month","count","day","date","pop","stan_count","num"
"1",2014,7,604,1,2014-07-01,8354889,7.22930011398117,1
"2",2014,8,1092,1,2014-08-01,8354889,13.0701915968004,2
"3",2014,9,1246,1,2014-09-01,8354889,14.9134237450671,3
"4",2014,10,1158,1,2014-10-01,8354889,13.8601482317718,4
"5",2014,11,1018,1,2014-11-01,8354889,12.1844826424385,5
"6",2014,12,870,1,2014-12-01,8354889,10.4130647337146,6
"7",2015,1,813,1,2015-01-01,8426743,9.64785564244691,7
"8",2015,2,757,1,2015-02-01,8426743,8.98330470028574,8
"9",2015,3,760,1,2015-03-01,8426743,9.01890564361581,9
"10",2015,4,746,1,2015-04-01,8426743,8.85276790807552,10
"11",2015,5,741,1,2015-05-01,8426743,8.79343300252541,11
"12",2015,6,962,1,2015-06-01,8426743,11.41603582784,12
"13",2015,7,1279,1,2015-07-01,8426743,15.1778688397166,13
"14",2015,8,1513,1,2015-08-01,8426743,17.9547424194615,14
"15",2015,9,1470,1,2015-09-01,8426743,17.4444622317306,15
"16",2015,10,1352,1,2015-10-01,8426743,16.0441584607481,16
"17",2015,11,1093,1,2015-11-01,8426743,12.9706103532527,17
"18",2015,12,954,1,2015-12-01,8426743,11.3210999789598,18
"19",2016,1,615,1,2016-01-01,8461961,7.2678188897349,19
"20",2016,2,873,1,2016-02-01,8461961,10.3167575459164,20
"21",2016,3,946,1,2016-03-01,8461961,11.1794417393321,21
"22",2016,4,817,1,2016-04-01,8461961,9.65497241124132,22
"23",2016,5,836,1,2016-05-01,8461961,9.87950665336321,23
"24",2016,6,1126,1,2016-06-01,8461961,13.3066082436447,24
"25",2016,7,1329,1,2016-07-01,8461961,15.7055793568418,25
"26",2016,8,1552,1,2016-08-01,8461961,18.3409023038513,26
"27",2016,9,1392,1,2016-09-01,8461961,16.4500876333512,27
"28",2016,10,1235,1,2016-10-01,8461961,14.5947257379229,28
"29",2016,11,1138,1,2016-11-01,8461961,13.4484193439322,29
"30",2016,12,997,1,2016-12-01,8461961,11.782138915554,30
"31",2017,1,960,1,2017-01-01,8560072,11.2148589404388,31
"32",2017,2,798,1,2017-02-01,8560072,9.32235149423977,32
"33",2017,3,868,1,2017-03-01,8560072,10.1401016253134,33
"34",2017,4,735,1,2017-04-01,8560072,8.58637637627347,34
"35",2017,5,903,1,2017-05-01,8560072,10.5489766908503,35
"36",2017,6,1070,1,2017-06-01,8560072,12.4998948606974,36
"37",2017,7,1170,1,2017-07-01,8560072,13.6681093336598,37
"38",2017,8,1463,1,2017-08-01,8560072,17.0909777394396,38
"39",2017,9,1274,1,2017-09-01,8560072,14.8830523855407,39
"40",2017,10,1347,1,2017-10-01,8560072,15.7358489508032,40
"41",2017,11,1165,1,2017-11-01,8560072,13.6096986100117,41
"42",2017,12,1013,1,2017-12-01,8560072,11.8340126111089,42
"43",2018,1,1099,1,2018-01-01,8443713,13.0156010750247,43
"44",2018,2,838,1,2018-02-01,8443713,9.92454385884504,44
"45",2018,3,913,1,2018-03-01,8443713,10.8127786910806,45
"46",2018,4,946,1,2018-04-01,8443713,11.2036020172642,46
"47",2018,5,885,1,2018-05-01,8443713,10.4811710203793,47
"48",2018,6,958,1,2018-06-01,8443713,11.3457195904219,48
"49",2018,7,1327,1,2018-07-01,8443713,15.7158349650207,49
"50",2018,8,1717,1,2018-08-01,8443713,20.3346560926455,50
"51",2018,9,1580,1,2018-09-01,8443713,18.7121471324286,51
"52",2018,10,1688,1,2018-10-01,8443713,19.9912052908478,52
"53",2018,11,1375,1,2018-11-01,8443713,16.2843052576515,53
"54",2018,12,1044,1,2018-12-01,8443713,12.3642288647186,54
"55",2019,1,1115,1,2019-01-01,8398748,13.2757882484389,55
"56",2019,2,1044,1,2019-02-01,8398748,12.4304241536953,56
"57",2019,3,1022,1,2019-03-01,8398748,12.1684803496902,57
"58",2019,4,1082,1,2019-04-01,8398748,12.8828725424313,58
"59",2019,5,1143,1,2019-05-01,8398748,13.6091712717181,59
"60",2019,6,1397,1,2019-06-01,8398748,16.6334315543221,60
"61",2019,7,1570,1,2019-07-01,8398748,18.6932623767257,61
"62",2019,8,1640,1,2019-08-01,8398748,19.5267199349236,62
"63",2019,9,1643,1,2019-09-01,8398748,19.5624395445607,63
"64",2019,10,1753,1,2019-10-01,8398748,20.8721585645861,64
"65",2019,11,1431,1,2019-11-01,8398748,17.0382537968754,65
