borough,year,count,pop
Brox,2014,1330,1413566
Brox,2015,2337,1428357
Brox,2016,1993,1436785
Brox,2017,1968,1455846
Brox,2018,1561,1437872
Brox,2019,1205,1432132
Brox,all_bronx,10394,1434093
Brooklyn,2014,2009,2570801
Brooklyn,2015,3300,2595259
Brooklyn,2016,2925,2606852
Brooklyn,2017,2589,2635121
Brooklyn,2018,2172,2600747
Brooklyn,2019,1549,2582830
Brooklyn,all_brooklyn,14544,2598602
Manhattan,2014,1134,1618389
Manhattan,2015,2069,1629507
Manhattan,2016,1989,1634989
Manhattan,2017,1683,1653877
Manhattan,2018,1454,1632480
Manhattan,2019,1070,1628701
Manhattan,all_manhattan,9399,1632991
Queens,2014,812,2280602
Queens,2015,1374,2301139
Queens,2016,1303,2310011
Queens,2017,1118,2339280
Queens,2018,1032,2298513
Queens,2019,846,2278906
Queens,all_queens,6485,2301409
Staten island,2014,145,471522
Staten island,2015,166,472481
Staten island,2016,187,473324
Staten island,2017,157,475948
Staten island,2018,163,474101
Staten island,2019,89,476179
Staten island,all_staten_island,907,473926
