"","b_year","borough","date","count","C_Year","C_Month","C_Day","population"
"1","BRONX_2014","BRONX",2014-07-01,173,2014,7,1,1413566
"66","BROOKLYN_2014","BROOKLYN",2014-07-01,289,2014,7,1,2570801
"131","MANHATTAN_2014","MANHATTAN",2014-07-01,162,2014,7,1,1618389
"196","QUEENS_2014","QUEENS",2014-07-01,107,2014,7,1,2280602
"261","STATEN_ISLAND_2014","STATEN ISLAND",2014-07-01,18,2014,7,1,471522
"2","BRONX_2014","BRONX",2014-08-01,303,2014,8,1,1413566
"67","BROOKLYN_2014","BROOKLYN",2014-08-01,433,2014,8,1,2570801
"132","MANHATTAN_2014","MANHATTAN",2014-08-01,237,2014,8,1,1618389
"197","QUEENS_2014","QUEENS",2014-08-01,194,2014,8,1,2280602
"262","STATEN_ISLAND_2014","STATEN ISLAND",2014-08-01,31,2014,8,1,471522
"3","BRONX_2014","BRONX",2014-09-01,242,2014,9,1,1413566
"68","BROOKLYN_2014","BROOKLYN",2014-09-01,409,2014,9,1,2570801
"133","MANHATTAN_2014","MANHATTAN",2014-09-01,244,2014,9,1,1618389
"198","QUEENS_2014","QUEENS",2014-09-01,149,2014,9,1,2280602
"263","STATEN_ISLAND_2014","STATEN ISLAND",2014-09-01,29,2014,9,1,471522
"4","BRONX_2014","BRONX",2014-10-01,233,2014,10,1,1413566
"69","BROOKLYN_2014","BROOKLYN",2014-10-01,287,2014,10,1,2570801
"134","MANHATTAN_2014","MANHATTAN",2014-10-01,191,2014,10,1,1618389
"199","QUEENS_2014","QUEENS",2014-10-01,146,2014,10,1,2280602
"264","STATEN_ISLAND_2014","STATEN ISLAND",2014-10-01,19,2014,10,1,471522
"5","BRONX_2014","BRONX",2014-11-01,144,2014,11,1,1413566
"70","BROOKLYN_2014","BROOKLYN",2014-11-01,253,2014,11,1,2570801
"135","MANHATTAN_2014","MANHATTAN",2014-11-01,137,2014,11,1,1618389
"200","QUEENS_2014","QUEENS",2014-11-01,113,2014,11,1,2280602
"265","STATEN_ISLAND_2014","STATEN ISLAND",2014-11-01,22,2014,11,1,471522
"6","BRONX_2014","BRONX",2014-12-01,175,2014,12,1,1413566
"71","BROOKLYN_2014","BROOKLYN",2014-12-01,269,2014,12,1,2570801
"136","MANHATTAN_2014","MANHATTAN",2014-12-01,143,2014,12,1,1618389
"201","QUEENS_2014","QUEENS",2014-12-01,82,2014,12,1,2280602
"266","STATEN_ISLAND_2014","STATEN ISLAND",2014-12-01,23,2014,12,1,471522
"7","BRONX_2015","BRONX",2015-01-01,123,2015,1,1,1428357
"72","BROOKLYN_2015","BROOKLYN",2015-01-01,215,2015,1,1,2595259
"137","MANHATTAN_2015","MANHATTAN",2015-01-01,92,2015,1,1,1629507
"202","QUEENS_2015","QUEENS",2015-01-01,64,2015,1,1,2301139
"267","STATEN_ISLAND_2015","STATEN ISLAND",2015-01-01,10,2015,1,1,472481
"8","BRONX_2015","BRONX",2015-02-01,109,2015,2,1,1428357
"73","BROOKLYN_2015","BROOKLYN",2015-02-01,152,2015,2,1,2595259
"138","MANHATTAN_2015","MANHATTAN",2015-02-01,105,2015,2,1,1629507
"203","QUEENS_2015","QUEENS",2015-02-01,69,2015,2,1,2301139
"268","STATEN_ISLAND_2015","STATEN ISLAND",2015-02-01,15,2015,2,1,472481
"9","BRONX_2015","BRONX",2015-03-01,116,2015,3,1,1428357
"74","BROOKLYN_2015","BROOKLYN",2015-03-01,205,2015,3,1,2595259
"139","MANHATTAN_2015","MANHATTAN",2015-03-01,114,2015,3,1,1629507
