BoroName,BoroCode,NTACode,NTAName,Shape_Area,NYC_NTA_po,NYC_NTA__1,NYC_NTA__4,BB_2018,NYC_pop,stan_2018,BB_2018_C,stan_2018_
Manhattan,"1",MN13,Hudson Yards-Chelsea-Flatiron-Union Square,1782674.210279999999329,Manhattan,"2010","70150",68,"70150","97",136,"194"
Bronx,"2",BX52,Schuylerville-Throgs Neck-Edgewater Park,1944076.727620000019670,Bronx,"2010","44167",0,"44167","0",14,"32"
Manhattan,"1",MN14,Lincoln Square,1880349.983280000044033,Manhattan,"2010","61489",54,"61489","88",71,"115"
Queens,"4",QN31,Hunters Point-Sunnyside-West Maspeth,1060457.970680000027642,Queens,"2010","63271",37,"63271","58",84,"133"
Manhattan,"1",MN15,Clinton,1919460.662920000031590,Manhattan,"2010","45884",119,"45884","259",101,"220"
Queens,"4",QN33,Cambria Heights,2389902.255650000181049,Queens,"2010","18677",3,"18677","16",0,"0"
Bronx,"2",BX55,Soundview-Bruckner,1325276.159990000072867,Bronx,"2010","35634",26,"35634","73",44,"123"
Queens,"4",QN34,Queens Village,2943686.954909999854863,Queens,"2010","52504",10,"52504","19",6,"11"
Manhattan,"1",MN11,Central Harlem South,1117371.678589999908581,Manhattan,"2010","43383",103,"43383","237",116,"267"
Manhattan,"1",MN99,park-cemetery-etc-Manhattan,1844421.238369999919087,Manhattan,"2010","1849",0,"1849","0",0,"0"
Manhattan,"1",MN12,Upper West Side,2391021.074370000045747,Manhattan,"2010","132378",89,"132378","67",198,"150"
Queens,"4",QN30,Maspeth,1321263.626320000039414,Queens,"2010","30516",2,"30516","7",4,"13"
Manhattan,"1",MN06,Manhattanville,1972647.905629999935627,Manhattan,"2010","22950",48,"22950","209",30,"131"
Brooklyn,"3",BK99,park-cemetery-etc-Brooklyn,21101598.564399998635054,Brooklyn,"2010","418",0,"418","0",1,"239"
Queens,"4",QN35,Briarwood-Jamaica Hills,1782960.144409999949858,Queens,"2010","39138",17,"39138","43",31,"79"
